track,artist,bpm,art_url,dominant_color,mood
Wait and Bleed,Slipknot,125.0,https://images.genius.com/f2e817e339bb0cad4b48c6acfdecf586.1000x1000x1.png,"(205, 136, 111)",angry
Spit It Out,Slipknot,140.62,https://images.genius.com/5b4a730620a7c7b07727e11af3b8af7f.877x877x1.png,"(210, 86, 65)",angry
Break Stuff,Limp Bizkit,109.96,https://images.genius.com/8fa833d97b2ca5a48eec2f1c30fc70ef.711x711x1.png,"(13, 9, 9)",angry
One Step Closer,Linkin Park,126.05,https://images.genius.com/7520612243c1122ede58714e7e65fc7f.1000x1000x1.png,"(18, 7, 8)",angry
People = Shit,Slipknot,122.28,https://images.genius.com/15d30107c9bf88971866811c60b45fd8.1000x1000x1.jpg,"(9, 9, 11)",angry
Next Hype,Tempa T,133.93,https://images.genius.com/3e09da01540cab2d4efc9d2e95755a75.1000x1000x1.jpg,"(60, 60, 60)",angry
うずまき,Machine Girl,117.19,https://images.genius.com/02b3ac5a71eb41edec80a07bdadb73d6.1000x1000x1.png,"(218, 166, 152)",angry
Fuck Up Your Face,Machine Girl,140.62,https://images.genius.com/02b3ac5a71eb41edec80a07bdadb73d6.1000x1000x1.png,"(218, 166, 152)",angry
Dumbass!!,Machine Girl,123.05,https://images.genius.com/02b3ac5a71eb41edec80a07bdadb73d6.1000x1000x1.png,"(218, 166, 152)",angry
I'll Whip Ya Head Boy,50 Cent,106.13,https://images.genius.com/222c99177c2a8a107c1bb9d454cc5f43.720x720x1.png,"(216, 200, 204)",angry
99 Problems,JAY-Z,122.28,https://images.rapgenius.com/d5045029766e3e4cc0e64ee3f0c7f95f.500x500x1.jpg,"(28, 23, 30)",angry
Fuck Tha Police,N.W.A.,130.81,https://images.genius.com/c8c5dd2610d23f4693d5e7a16e79c9b9.600x623x1.jpg,"(55, 51, 57)",angry
Butterflies...,Slayyyter,125.0,https://images.genius.com/77db5a43b160872d5d428d892d284def.1000x1000x1.png,"(131, 127, 163)",angry
Sittin' Here,Dizzee Rascal,108.17,https://images.rapgenius.com/d05f209908a2558428eea5f89ef2f912.1000x1000x1.jpg,"(236, 213, 58)",angry
Street Fighter,Dizzee Rascal,137.2,https://i.scdn.co/image/ab67616d0000b273bcd3bb08e1082de77f61cb59,"(37, 40, 37)",angry
Mchngrl vs Wlfgrl,Machine Girl,114.8,https://images.genius.com/02b3ac5a71eb41edec80a07bdadb73d6.1000x1000x1.png,"(218, 166, 152)",angry
Call This # Now,The Garden,140.62,https://images.genius.com/d4da30c897663a2a26eaf42a9af9a253.1000x1000x1.jpg,"(52, 55, 50)",angry
No Angel,Beyoncé,119.68,https://images.genius.com/91b6269577e09c7835afb36acd0fd04d.942x942x1.png,"(56, 57, 57)",angry
Utxpia = Mass Genxcide,Scarlxrd,104.17,https://images.genius.com/6fb28cdfa8f2c75b37e78bed9de92971.1000x1000x1.png,"(13, 11, 11)",angry
BLADE,KAMAARA,112.5,https://images.genius.com/459ce615bde991fc7a39df35da31d7f7.1000x1000x1.jpg,"(33, 34, 33)",angry
The Fly,Istasha,112.5,https://images.genius.com/7b285b7312ebf036723f382b7086da4f.300x300x1.jpg,"(234, 234, 232)",angry
ADREN4LINE.,Kill Dyll,106.13,https://images.genius.com/da13477d8bbe6aed420caff3553e0904.497x497x1.png,"(42, 39, 39)",angry
Rage,Kayzo,144.23,https://images.genius.com/5769f361b9e383f4cc15ebe2f1e50d78.1000x1000x1.png,"(188, 117, 105)",angry
Eyes Wide Xpen,Kayzo,143.55,https://images.genius.com/2fba6c557323ea42aa8268061677bd5d.1000x1000x1.png,"(81, 80, 80)",angry
Dr. Dxxm,Scarlxrd,112.5,https://images.genius.com/30734a856c0dd50ac3772cf257c0bfda.1000x1000x1.png,"(21, 20, 20)",angry
YXU'RE TXX ANGRY.,Scarlxrd,112.5,https://images.genius.com/97cfb84f132194f6ce805dcd8e930d93.1000x1000x1.png,"(5, 5, 6)",angry
Gasoline,I Prevail,130.81,https://images.genius.com/de1c372a77c67c852e40cee508354bf6.1000x1000x1.jpg,"(50, 50, 57)",angry
Custer,Slipknot,152.03,https://images.genius.com/9f6bffaaae38a81bccdcc00f4491a73b.800x800x1.jpg,"(174, 90, 70)",angry
Blood Magic,Machine Girl,130.81,https://images.genius.com/7cf2bc220e6752b0117444c7d51ab378.1000x1000x1.png,"(199, 187, 170)",angry
Dye It Red,beabadoobee,117.19,https://images.genius.com/67d1f966e41aab65acf2f056da941a5c.1000x1000x1.png,"(204, 180, 167)",angry
Get Gone,Fiona Apple,141,https://images.genius.com/65a8cb694b1227cf62f9a95d639343ca.1000x1000x1.png,"(123, 16, 17)",angry
Ultimate,Denzel Curry,114,https://images.genius.com/e6278593a52eb5369b6ce6306ae494c1.1000x1000x1.png,"(127, 101, 156)",angry
Murmaider,Metalocalypse: Dethklok,138.091,https://images.genius.com/441ac4d26250ec767316a0b5285491ee.1000x1000x1.png,"(29, 52, 64)",angry
Limb By Limb,Cutty Ranks,120.2,https://images.genius.com/4230d974d134a98950e1293b9bc3cbb5.500x500x1.jpg,"(236, 187, 70)",angry
Die MF Die,Dope,112.03,https://images.genius.com/aee85f640a49a2cec7ac138872d69d9f.640x640x1.png,"(207, 190, 173)",angry
My Curse,Killswitch Engage,133.3,https://images.genius.com/c7e98aa631b7a884178a6c3dedca61ff.500x500x1.png,"(199, 202, 197)",angry
No Problem,Chase & Status,117.19,https://images.genius.com/09750460ce1825c9ba2196644f6ec9bf.600x600x1.jpg,"(138, 139, 137)",angry
Rim Tim Tagi Dim,Baby Lasagna,127.84,https://images.genius.com/c71ad5970599680a81954920fd18fbee.1000x1000x1.png,"(58, 58, 48)",angry
Bodak Yellow,Cardi B,125.0,https://images.genius.com/2af391b85f2005f437da21f61aff8eb9.1000x1000x1.png,"(229, 225, 241)",angry
Cha Cha Cha,Käärijä,133.93,https://images.genius.com/91f6f3a239eab5d3178c32ecc491c841.1000x1000x1.png,"(15, 42, 10)",angry
Look At Me!,XXXTENTACION,137.2,https://images.genius.com/7d9ceae9f4c374e7106d883a0b5a8712.1000x1000x1.png,"(155, 144, 140)",angry
Helena,My Chemical Romance,125.0,https://images.genius.com/bb7d7eb27ed8b947836c6162dc9b69b7.877x877x1.png,"(28, 22, 19)",angry
Electric Pow Wow Drum,The Halluci Nation,133.93,https://i.scdn.co/image/ab67616d0000b273ef0124a7f7337ff71908ce8c,"(233, 221, 207)",angry
Jet Pilot,System Of A Down,127.84,https://images.genius.com/bfc671501c31aa363f545b7177423c08.1000x1000x1.png,"(139, 103, 65)",angry
family ties (with Kendrick Lamar),Baby Keem,133.93,https://i.scdn.co/image/ab67616d0000b273163028c67a1f4a7c0e83a715,"(217, 199, 178)",angry
一輪の花,HIGH and MIGHTY COLOR,129.2,https://images.genius.com/eaf41ee7abc4815098a194d538ff9259.1000x1000x1.png,"(133, 99, 91)",angry
