track,artist,bpm,art_url,dominant_color,mood
"Happy - From ""Despicable Me 2""",Pharrell Williams,160.71,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba,"(169, 139, 108)",happy
Flowers - Sunship Radio Edit,Sweet Female Attitude,130.81,https://i.scdn.co/image/ab67616d0000b27396219347409adca353949ad0,"(246, 153, 8)",happy
"Dance, Dance",Fall Out Boy,114.8,https://images.genius.com/56296f57e5fd7033b3a96305ee7d6bb8.900x900x1.png,"(191, 182, 168)",happy
Dreamflasher,Jane Remover,104.17,https://images.genius.com/b5b764391cfc5a0348168d3c530bf6f5.1000x1000x1.png,"(152, 87, 35)",happy
I'm Coming Home,Nina Nesbitt,148.03,https://images.genius.com/cc25e1f0680b99498e625e1f549b47f3.1000x1000x1.png,"(152, 175, 179)",happy
Rocky Road to Dublin,Jack O’Connell,133.93,https://images.genius.com/bbb25e3e3e89f102cf1a8645cc5259a4.1000x1000x1.png,"(41, 22, 15)",happy
No Letting Go,Wayne Wonder,100.45,https://images.genius.com/b76b1d710780be02784f3f67266fc8be.600x543x1.jpg,"(178, 167, 114)",happy
uThando,Soa Mattrix,112.5,https://images.genius.com/9c28bac591dbbed42e499722836c7984.1000x1000x1.jpg,"(202, 194, 185)",happy
Boogie Wonderland,"Earth, Wind & Fire",130.81,https://images.genius.com/d7404b58cbb7f6446b30faf8394f8a23.600x600x1.jpg,"(189, 81, 78)",happy
Return of the Mack,Mark Morrison,95.34,https://images.genius.com/062bb7d9f36df356f539a928d46d8966.1000x1000x1.png,"(226, 148, 102)",happy
Got to Be Real,Cheryl Lynn,114.8,https://images.genius.com/85c8e29e70c98d3c632df2b8d684ebb7.600x602x1.jpg,"(174, 123, 86)",happy
Let's Groove,"Earth, Wind & Fire",125.0,https://images.genius.com/8191d9d905c00f4db7020f16f0026f79.600x600x1.jpg,"(149, 99, 79)",happy
P.Y.T. (Pretty Young Thing),Michael Jackson,127.83,https://images.genius.com/55b6258f8b5c2575fe22898feb45adae.500x500x1.jpg,"(237, 213, 211)",happy
Flash in the Pan,Jane Remover,104.17,https://images.genius.com/ee98c3d196a7ca18f95596710db5dc3d.1000x1000x1.png,"(15, 16, 15)",happy
Cod Liver Oil and Orange Juice,Hamish Imlach,122.28,https://images.genius.com/e262d07c308edf7f35bd2ea0ece23f5b.500x500x1.jpg,"(202, 169, 151)",happy
Heat Waves,Glass Animals,81,https://images.genius.com/14f9d7ab46d7737d9a6d7459c7333392.1000x1000x1.png,"(96, 162, 181)",happy
