track,artist,bpm,art_url,dominant_color,mood
The Storm,Machine Girl,148.03,https://images.genius.com/560473dd3e63fc05e362b926f578d485.1000x1000x1.png,"(231, 197, 223)",mellow
Riptide,South Arcade,156.25,https://images.genius.com/099141d328e5861d89c7ff9d9832dcae.1000x1000x1.png,"(27, 41, 40)",mellow
drive ME crazy!,Lil Yachty,107.67,https://images.genius.com/aca10b47e011e94f91e7a7a4d2b658cb.999x999x1.jpg,"(46, 31, 39)",mellow
The Spins,Mac Miller,127.84,https://images.genius.com/a8de6b36ccc06b0e9096884115bfea8c.1000x1000x1.jpg,"(231, 199, 158)",mellow
MUTT,Leon Thomas,181.45,https://images.genius.com/e2ef0500d1f91e30313985872425dec5.1000x1000x1.png,"(202, 204, 204)",mellow
Space Cowboy,Jamiroquai,119.68,https://images.rapgenius.com/730e1466819a57fa5cee1e00a1e95cb1.220x221x1.jpg,"(186, 107, 65)",mellow
Lost,Frank Ocean,122.28,https://images.genius.com/6523ef2dbe975dd04570ee626edf53ca.1000x1000x1.png,"(244, 116, 36)",mellow
Higher,Tems,125.0,https://images.genius.com/9f495930e3483efdb25029593d10da6b.1000x1000x1.jpg,"(202, 141, 70)",mellow
Exchange,Massive Attack,106.13,https://images.genius.com/fd937974e43a074ce84893d815b067ae.1000x1000x1.png,"(15, 15, 13)",mellow
endless,Oklou,130.81,https://images.genius.com/2de25935e9415c3d9f9801fc9cd9affc.1000x1000x1.png,"(47, 59, 57)",mellow
obvious,Oklou,95.7,https://images.genius.com/c95f7b27240ad1ee7e8897ffd8becc82.1000x1000x1.png,"(212, 221, 222)",mellow
Blue Lines - 2012 Mix/Master,Massive Attack,95.7,https://i.scdn.co/image/ab67616d0000b273af5beb00d940f5ede452d6b5,"(208, 140, 98)",mellow
fall,Oklou,117.19,https://images.genius.com/2577ef10953a4089e961e0beea0b34b4.750x750x1.jpg,"(24, 14, 11)",mellow
Ocean Bed,King Krule,117.19,https://images.genius.com/1d3c6171db32f9d1b3f8d4970ecaebb4.1000x1000x1.jpg,"(10, 10, 10)",mellow
