track,artist,bpm,art_url,dominant_color,mood
THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,,https://i.scdn.co/image/ab67616d0000b273a2ef2c1c668b6fdb1f346dd1,"(251, 164, 188)",happy
Sweetest Pie,Megan Thee Stallion,,https://images.genius.com/07f3366dfd1e5a832ccf24fc3e32b50f.1000x1000x1.png,"(178, 135, 120)",happy
Espresso,Sabrina Carpenter,,https://images.genius.com/8e8e92eda3d816065a4272a56b6f5ef6.1000x1000x1.png,"(195, 198, 199)",happy
Butter,BTS,,https://images.genius.com/7aaf44fef39c557a691c0b447879077d.1000x1000x1.png,"(251, 218, 4)",happy
Dance With Me,Tones And I,,https://images.genius.com/0fb81451eebfd76ec2b0cb4777adfea5.1000x1000x1.png,"(134, 113, 102)",happy
Speed Drive (From Barbie The Album),Charli xcx,,https://i.scdn.co/image/ab67616d0000b273cd6f4f3b7d178e0a8b963da1,"(240, 34, 128)",happy
Look Who's Laughing Now,Benjamin Ingrosso,,https://images.genius.com/b01453ac62f843593518f785affd76ac.1000x1000x1.png,"(56, 48, 32)",happy
Rush,Troye Sivan,,https://images.genius.com/6ba994a852b32d37245bbe36fcc7a0c2.1000x1000x1.png,"(166, 125, 99)",happy
Dynamite,BTS,,https://images.genius.com/df009633e4702b3838c793c7fd97adf3.1000x1000x1.png,"(6, 7, 7)",happy
Kiss Me More (feat. SZA),Doja Cat,,https://images.genius.com/e1d5caeb59a395a25c0339c990b5ab54.504x504x1.png,"(175, 156, 193)",happy
Lips,Aden Foyer,,https://images.genius.com/89bce877179e66631ce7be5d06f53072.640x640x1.jpg,"(23, 23, 23)",happy
Mariposa,Peach Tree Rascals,,https://images.genius.com/8d16fa9331832c6c8b816188acdbc24e.1000x1000x1.png,"(57, 170, 240)",happy
Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,,https://images.genius.com/425aee597db1159fc09048ccfd6cd958.1000x1000x1.jpg,"(244, 179, 168)",happy
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,,https://images.genius.com/85c2efee9ada5cb82d5b297b587c9b18.1000x1000x1.png,"(212, 189, 180)",happy
exes,Tate McRae,,https://images.genius.com/b98900de0f7d0abd3bdf663baa3397dd.1000x1000x1.png,"(29, 30, 29)",happy
Rain On Me (with Ariana Grande),Lady Gaga,,https://images.genius.com/f28fb5e2033797e70e32e70816574e8d.1000x1000x1.png,"(243, 75, 119)",happy
Dance The Night - From Barbie The Album,Dua Lipa,,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192,"(235, 28, 121)",happy
My Universe,Coldplay,,https://images.genius.com/e7ede75fcd8d7e8bc32714b864c25c28.1000x1000x1.png,"(37, 21, 46)",happy
Skate,Bruno Mars,,https://images.genius.com/8c8f7f0f59eda88ab60da98f6df4ca96.1000x1000x1.png,"(186, 148, 99)",happy
C'est La Vie (with bbno$ & Rich Brian),Yung Gravy,,https://i.scdn.co/image/ab67616d0000b27388471a1d650d15527ec22977,"(251, 214, 167)",happy
CHICKEN TERIYAKI,ROSALÍA,,https://images.genius.com/717bbc9f2bb3c17d3a8161b898f682e1.1000x1000x1.png,"(237, 209, 191)",happy
Cruel Summer,Taylor Swift,,https://images.genius.com/8109424a2bb5b226dbb3482466d51e34.1000x1000x1.png,"(95, 68, 46)",happy
Padam Padam,Kylie Minogue,,https://images.genius.com/609a139545765f61f885968e4f6326b2.1000x1000x1.png,"(238, 30, 10)",happy
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,"(217, 154, 174)",happy
Betty (Get Money),Yung Gravy,,https://images.genius.com/d8f65b667cb1f2c8367c8d3defca6c6d.1000x1000x1.png,"(19, 10, 9)",happy
"Let Me Move You - From the Netflix film ""Work It""",Sabrina Carpenter,,https://i.scdn.co/image/ab67616d0000b2736c9d6c83a5feac01c75a8c66,"(34, 31, 54)",happy
Music For a Sushi Restaurant,Harry Styles,,https://images.genius.com/655c6d50af205c6a383a7cae473c8bd3.675x675x1.png,"(59, 59, 59)",happy
These Walls,Dua Lipa,,https://images.genius.com/481d6480745830e5be03d5573ac4379f.1000x1000x1.png,"(173, 171, 168)",happy
If We Ever Broke Up,Mae Stephens,,https://images.genius.com/de20b2c0ea4b4e893f8af2cbe55c99bf.1000x1000x1.png,"(235, 46, 115)",happy
Hot In It (feat. Charli XCX),Tiësto,,https://images.genius.com/72fdcfffb6e85d6e9f02a875041704ac.1000x1000x1.png,"(147, 5, 6)",happy
