track,artist,bpm,art_url,dominant_color,mood
Little Things,Hidden Piano,,https://i.scdn.co/image/ab67616d0000b27333ea8744bbee46a366b8b52f,"(192, 119, 32)",mellow
Fireside,Maxim Slanov,,https://i.scdn.co/image/ab67616d0000b273b579560ed2e5acaf7a129f82,"(21, 73, 135)",mellow
Across the Mountains,Sami Kaur,,https://i.scdn.co/image/ab67616d0000b27351436720e833aaac7dc83ffa,"(16, 13, 22)",mellow
Subtilité,Bodi Lukasz,,https://i.scdn.co/image/ab67616d0000b2736ec0f3e5c96313a710791605,"(22, 25, 26)",mellow
Pacífico,Hues of Ruby,,https://i.scdn.co/image/ab67616d0000b273e62d5bfab6e5fb25af90d0fc,"(98, 63, 66)",mellow
Snowbound,Ferragno,,https://i.scdn.co/image/ab67616d0000b273bfb56d798215f30166065e78,"(232, 234, 238)",mellow
Silence,Aubrey Lo,,https://images.genius.com/9d7d3fc946545aa1c3ffd8be7f3b3de5.630x630x1.jpg,"(210, 181, 165)",mellow
Hydrangea,Richard Mahees,,https://i.scdn.co/image/ab67616d0000b273ae8063e9b9859fdb4533cff8,"(221, 227, 231)",mellow
lumière,Ethan Élgar,,https://i.scdn.co/image/ab67616d0000b273364f5a5f1b7bd54a9d14635b,"(198, 208, 205)",mellow
Embrace,Fredrik Lundberg,,https://i.scdn.co/image/ab67616d0000b27363cada04210f08904dfed8f5,"(193, 187, 174)",mellow
To the Morning Light,James Here,,https://i.scdn.co/image/ab67616d0000b273042b0ac5aaa552166fece9b7,"(37, 34, 30)",mellow
Whispering Willow,Fringilla coelebs,,https://i.scdn.co/image/ab67616d0000b273e7a28d6ad1a5fa01179a481a,"(59, 61, 65)",mellow
to be better again,Lonesome Mind,,https://i.scdn.co/image/ab67616d0000b2730f5f37d34d6e978db4e42400,"(181, 204, 205)",mellow
Nyugalma,Tomasz Kraal,,https://i.scdn.co/image/ab67616d0000b2739c0e06726ff476b0eef7016c,"(186, 185, 183)",mellow
Wind In My Hair,Carl Moir,,https://i.scdn.co/image/ab67616d0000b27396294bd3ba017b6e9103362d,"(244, 248, 241)",mellow
Serenety Walz,Leon Hartness,,https://i.scdn.co/image/ab67616d0000b273311587c0ead3cb9fc0f3688f,"(140, 142, 141)",mellow
Beyond,Goratie,,https://images.genius.com/84609631fd1b48fdaa25969d447bf741.1000x1000x1.jpg,"(5, 5, 4)",mellow
Luz,Daniel Schrage,,https://i.scdn.co/image/ab67616d0000b2730bb2547a540bc2f110ee5187,"(108, 98, 84)",mellow
Essence,Chris Rusak,,https://i.scdn.co/image/ab67616d0000b2739b8029f48de29cbfe7ad1aa5,"(193, 161, 134)",mellow
Aging,Matteus Fortini,,https://i.scdn.co/image/ab67616d0000b273eb930aac2d514a97f76f7852,"(189, 187, 137)",mellow
lavande,Ethan Élgar,,https://i.scdn.co/image/ab67616d0000b273d7cab5ea8874378f43d86e02,"(158, 140, 170)",mellow
For love,Anton Lindholm,,https://i.scdn.co/image/ab67616d0000b273d1bb3e5230c2d975b83991f2,"(141, 51, 12)",mellow
All Worth It,Max Dew,,https://i.scdn.co/image/ab67616d0000b2739cb85ca5701898ffd3498cab,"(128, 101, 77)",mellow
Daylight Saving,Ferragno,,https://i.scdn.co/image/ab67616d0000b273e6d403e6fc21f79054edef1a,"(74, 68, 57)",mellow
Light,Tankeflukt,,https://i.scdn.co/image/ab67616d0000b273fff5ae6e59caabc58b4ec2ae,"(64, 62, 31)",mellow
Daylight,Della Valle,,https://i.scdn.co/image/ab67616d0000b273f0f380f4c2b54e3d0af2430c,"(218, 182, 131)",mellow
Morning Sun,Halgeir Nielsen,,https://i.scdn.co/image/ab67616d0000b273dbdb5bd8924c31d7139c95cf,"(63, 65, 46)",mellow
Juliet Rose,A Little Time,,https://i.scdn.co/image/ab67616d0000b273b1088d869b81f0b8f408de4c,"(62, 63, 83)",mellow
adieu,Ethan Élgar,,https://i.scdn.co/image/ab67616d0000b2735a4f117098ccda9fa9addf96,"(108, 111, 90)",mellow
Oceans Between Us,AuraLoom,,https://i.scdn.co/image/ab67616d0000b273c503b806395d9cbb3b5b463c,"(148, 180, 187)",mellow
