track,artist,bpm,art_url,dominant_color,mood
Halo,Beyoncé,,https://images.genius.com/47524792c7087a5098ddb5b0dab7bd7b.1000x1000x1.png,"(216, 215, 213)",romantic
Your Song,Elton John,,https://images.genius.com/82bff478914823e56232c40725f9e411.700x700x1.jpg,"(193, 162, 113)",romantic
Make You Feel My Love,Adele,,https://images.genius.com/f248cc85ccaab603ce88832109b21bb8.1000x1000x1.png,"(181, 151, 122)",romantic
If I Ain't Got You,Alicia Keys,,https://images.genius.com/38c8112d9234021c26c350bd8612bb62.1000x1000x1.png,"(153, 128, 119)",romantic
I Will Always Love You,Whitney Houston,,https://images.genius.com/c30cf0c7e0534ea73feef16a7d09b61d.1000x1000x1.jpg,"(216, 170, 125)",romantic
Unchained Melody,The Righteous Brothers,,https://images.genius.com/7175386388ad55daaa14acb0c0979cdc.600x600x1.png,"(206, 197, 194)",romantic
Thinking out Loud,Ed Sheeran,,https://images.genius.com/0964628b3d53cd652ac94a63acd4f307.1000x1000x1.png,"(108, 185, 92)",romantic
It's All Coming Back to Me Now,Céline Dion,,https://images.genius.com/35d6b5b1aeb1ab8aea6862073ff668ed.1000x1000x1.jpg,"(11, 30, 57)",romantic
All of Me,John Legend,,https://images.genius.com/14a8c78b6bc1c461b564ba082bc1a158.1000x1000x1.png,"(49, 20, 22)",romantic
Just the Way You Are,Bruno Mars,,https://images.genius.com/d4dd931989a49667a0eda1bdbb28d39b.1000x1000x1.png,"(223, 186, 191)",romantic
a thousand years,Christina Perri,,https://images.genius.com/6eca772a750a5fdf19c4fb7eb34fd4a1.1000x1000x1.png,"(214, 141, 92)",romantic
Stand By Me,Ben E. King,,https://images.genius.com/037509d04c89f1e83a6fee8f979098cc.1000x1000x1.png,"(200, 59, 14)",romantic
At Last,Etta James,,https://images.genius.com/eb42ff4d9884e1b96cc2877853943a83.535x535x1.png,"(214, 165, 89)",romantic
Tennessee Whiskey,Chris Stapleton,,https://images.genius.com/dbd2d0d9455c26398c90b4245d0de87c.300x300x1.jpg,"(73, 73, 75)",romantic
I Try,Macy Gray,,https://images.genius.com/c6bbeabce514cdd897fe83562cd46c5e.500x500x1.jpg,"(48, 45, 68)",romantic
Let's Stay Together,Al Green,,https://images.genius.com/c8124f3ab40227ed219c93b598eb01c6.1000x1000x1.jpg,"(168, 132, 113)",romantic
Out Of Reach,GABRIELLE,,https://images.genius.com/748d588cb03278e6fc36428fffb18a25.301x301x1.jpg,"(210, 198, 228)",romantic
I'm Yours,Jason Mraz,,https://images.genius.com/f0b0e7b13176526d42cccfde503bcbdd.1000x1000x1.png,"(7, 7, 7)",romantic
My Girl,The Temptations,,https://images.genius.com/c6e31f6fce9427eab3cd40cb579da7fb.720x720x1.png,"(16, 16, 16)",romantic
Lover,Taylor Swift,,https://images.genius.com/ef7309e1b3e6fae42a331b84076f68e6.1000x1000x1.jpg,"(37, 16, 15)",romantic
This Year's Love,David Gray,,https://images.genius.com/2ab46720649dc7bd35c6122a2f75150a.599x523x1.jpg,"(229, 229, 227)",romantic
L-O-V-E,Nat King Cole,,https://images.genius.com/c921c0353d693fbec14011e1fb7fe718.300x306x1.png,"(55, 48, 56)",romantic
Can't Help Falling in Love,Elvis Presley,,https://images.genius.com/f4f1c1433d4913299acc7e0036c17dfe.600x593x1.jpg,"(211, 205, 186)",romantic
Baby Can I Hold You,Tracy Chapman,,https://images.genius.com/8c985e09472069f8b9e7d12e2b38e4a1.600x595x1.jpg,"(194, 234, 246)",romantic
Kiss from a Rose,Seal,,https://images.genius.com/33ec9a7771809c8a79c49b6bb49eb84f.600x600x1.jpg,"(71, 72, 139)",romantic
How Long Will I Love You - Bonus Track,Ellie Goulding,,https://i.scdn.co/image/ab67616d0000b27357ef7a033c989c89cc503c7f,"(141, 45, 119)",romantic
Bleeding Love,Leona Lewis,,https://images.genius.com/43d579cdd782a0001a07a0f53787985c.1000x1000x1.png,"(63, 53, 49)",romantic
Chasing Cars,Snow Patrol,,https://images.genius.com/dbee9546438a7526ea548a9f11e3ad70.300x300x1.jpg,"(218, 214, 211)",romantic
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,,https://images.genius.com/5e715e7f74e9e50db44e0b4077e5544e.985x985x1.jpg,"(239, 229, 227)",romantic
Kiss Me,Sixpence None The Richer,,https://images.genius.com/01cbdb579e1d34048b672b75750d7a22.1000x1000x1.jpg,"(213, 161, 103)",romantic
