track,artist,bpm,art_url,dominant_color,mood
In The Stars,Benson Boone,,https://images.genius.com/635aecb7134bd1ee7f1641475abb9fda.1000x1000x1.png,"(5, 5, 5)",sad
Blade Of Grass,Lady Gaga,,https://images.genius.com/6715e9ef15be0bb90f8371b5e68ada39.1000x1000x1.png,"(57, 57, 57)",sad
Funeral,Phoebe Bridgers,,https://images.genius.com/069a38a206438c03e3cc75b3a688e90f.640x640x1.jpg,"(57, 40, 44)",sad
Liability,Lorde,,https://images.genius.com/bee706cb5ab7af88f5d698b18b29422b.1000x1000x1.png,"(21, 28, 70)",sad
My First Heartbreak,Myles Smith,,https://images.genius.com/b6d694032be3aa03675e8507bde30ecf.1000x1000x1.png,"(227, 216, 187)",sad
Daylight,David Kushner,,https://images.genius.com/4a9da28af52b02ed198802eeffc5ff31.1000x1000x1.png,"(40, 46, 9)",sad
I Don't Know,Rachael Jenkins,,https://images.genius.com/219f559e7a672314b38fe05d9688f76a.1000x1000x1.jpg,"(34, 23, 12)",sad
It's Fine,Junes,,https://i.scdn.co/image/ab67616d0000b27375c871c79e6a49ae1e214d7c,"(97, 127, 141)",sad
Mine,Orla Gartland,,https://images.genius.com/7502f113051bb954fc47d0aa50ac3cf2.1000x1000x1.png,"(21, 21, 42)",sad
Black Friday,Tom Odell,,https://images.genius.com/e1e5659905eb46395a9a4188f3f8f25b.1000x1000x1.png,"(105, 118, 172)",sad
Run,Leona Lewis,,https://images.genius.com/77ae97b0efb715ab6f82543941f7d40b.600x600x1.png,"(56, 52, 51)",sad
Ribbons,Ryan Beatty,,https://images.genius.com/e0a4716dc96fd9fb1f851a19e4178079.860x860x1.jpg,"(190, 145, 114)",sad
Atlantis,Seafret,,https://images.genius.com/81a8a9eeb4c9901e5c1d7b70466018a0.960x960x1.jpg,"(72, 73, 71)",sad
How Do I Say Goodbye,Dean Lewis,,https://images.genius.com/e00993ec060dd498f2ab80d2f1806734.1000x1000x1.png,"(213, 209, 197)",sad
A House In Nebraska,Ethel Cain,,https://images.genius.com/53f1c721aa0fa82dbfa63685cc16e054.1000x1000x1.jpg,"(40, 32, 14)",sad
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e,"(140, 151, 87)",sad
Both Sides Now,Joni Mitchell,,https://images.genius.com/d062d3d9d19b127180e2a864eefe78f2.1000x1000x1.jpg,"(200, 137, 91)",sad
Easy On Me,Adele,,https://images.genius.com/15057eb95cfc185bb9be3d955c19c164.1000x1000x1.png,"(223, 223, 223)",sad
Hang With Me - Acoustic,Robyn,,https://images.genius.com/9af4da6b103fe6ac024a245e583eb9ba.900x900x1.jpg,"(226, 216, 214)",sad
Traveling Song,Ryn Weaver,,https://images.genius.com/5834592ebe47d3fda2f8acb9dc9fc835.1000x1000x1.png,"(206, 184, 157)",sad
S P E Y S I D E,Bon Iver,,https://images.genius.com/c5abdf5b483cbd13db01035181caa69c.1000x1000x1.png,"(252, 148, 126)",sad
no fun/party,Kara Jackson,,https://images.genius.com/a7f9e4cc1c21a4df495369e3d8ef1eca.1000x1000x1.jpg,"(59, 62, 105)",sad
"I miss you, I’m sorry",Gracie Abrams,,https://images.genius.com/e595e86d13777e0f0092218b602c779c.1000x1000x1.png,"(155, 221, 223)",sad
Crooked Teeth,Nina Nesbitt,,https://images.genius.com/56f17fffcca77341cb87d9e820870f24.1000x1000x1.png,"(157, 170, 171)",sad
My Blood,Rachel Chinouriri,,https://images.genius.com/479648f16cfe295fdd41e5f919a070a4.1000x1000x1.png,"(80, 69, 65)",sad
People Help the People,Birdy,,https://images.genius.com/903879ee725f5ec463de2b2799391c9d.1000x1000x1.png,"(43, 43, 43)",sad
5 More Minutes,Sydney Rose,,https://images.genius.com/00c950c17ef8ed9ab2aa8ce587f0539c.1000x1000x1.png,"(195, 137, 88)",sad
Coffee,Chappell Roan,,https://images.genius.com/53bf614a79e22b5e3ceb65393ff09977.1000x1000x1.png,"(214, 184, 149)",sad
that way,Tate McRae,,https://images.genius.com/7e8072b7849fbeeb5458b7b6625e6df5.842x842x1.png,"(27, 23, 21)",sad
Lights Are On,Tom Rosenthal,,https://images.genius.com/cd2247759bfcd31936d3d96e9133a4e5.600x600x1.jpg,"(58, 58, 58)",sad
