track,artist,bpm,art_url,dominant_color,mood
Bluerose,Billlie,,https://images.genius.com/9985899db87bd5cffe38fdbb75609b8e.1000x1000x1.png,"(209, 171, 149)",romantic
One Less Lonely Girl,Justin Bieber,,https://images.genius.com/8dd4b5f9a3b19206d1529703e926f75c.1000x1000x1.jpg,"(174, 182, 189)",romantic
One Man - Raw,Gaza Slim,,https://i.scdn.co/image/ab67616d0000b27340e6de8f5a139d3bd44cdad1,"(208, 207, 201)",romantic
Baby Be Mine,Michael Jackson,,https://images.genius.com/811446ac856efd8aeb7e7041398f4c85.600x585x1.jpg,"(224, 148, 143)",romantic
Billions,Caroline Polachek,,https://images.genius.com/28a338378839dfadf8396c1622ca41e5.1000x1000x1.png,"(9, 12, 6)",romantic
Caroline Shut Up,Caroline Polachek,,https://images.genius.com/726db8189375eb92267a8832bfe439e9.1000x1000x1.jpg,"(26, 18, 16)",romantic
Bumper To Bumper,Spice Girls,,https://images.genius.com/10883aadb3c9b5c1dbedaa27094331ce.1000x1000x1.jpg,"(199, 201, 207)",romantic
Venus as a Boy,Björk,,https://images.genius.com/052716df644c83f2cc57d86520dc8d06.1000x1000x1.png,"(4, 69, 79)",romantic
Simple And Clean - PLANITb Remix,Hikaru Utada,,https://images.genius.com/22fe725efefc70bda2edec9f3b553228.1000x1000x1.jpg,"(232, 220, 205)",romantic
Moody's Mood For Love / Teo Licks,Amy Winehouse,,https://images.genius.com/e2c709ffce2aa9d18dc1f08698f1275f.1000x1000x1.png,"(202, 131, 161)",romantic
Tonight,PinkPantheress,,https://images.genius.com/59e4940ae34a7f8c95ddfbf48d9a114f.1000x1000x1.png,"(205, 185, 156)",romantic
Steel (feat. Hannah Diamond),Namasenda,,https://images.genius.com/1fc0b2ec8638115ccc557656f453213d.960x960x1.jpg,"(11, 24, 44)",romantic
Fangs,Matt Champion,,https://images.genius.com/6c37331d1981b3d4dfaa060266e652e6.1000x1000x1.png,"(200, 229, 239)",romantic
Soft Spot,keshi,,https://images.genius.com/1dbec992d75e6a0e421cd4cd7f16f0f0.1000x1000x1.png,"(206, 208, 197)",romantic
