track,artist,bpm,art_url,dominant_color,mood
Longtemps,Amir,130.81,https://images.genius.com/77501c01cac1092016f30e8968f92edc.500x500x1.jpg,"(50, 65, 123)",sad
Nerea,Sauti Sol,95.34,https://images.genius.com/8dfb0d7c3d5b31667e62a4aaae21b1ca.800x800x1.jpg,"(200, 199, 199)",sad
Rollin' (Air Raid Vehicle),Limp Bizkit,127.84,https://images.genius.com/61deb3ffe56dd84b5655840ca4e9a83d.600x554x1.jpg,"(247, 247, 245)",sad
New Flesh,Current Joys,82.72,https://images.genius.com/0981270ba7d4589d339d45d98a20cb62.1000x1000x1.jpg,"(103, 65, 69)",sad
Liquid Smooth,Mitski,127.84,https://images.genius.com/75a2f04ad44dac78fcf223711f99136d.1000x1000x1.png,"(40, 48, 27)",sad
I Bet on Losing Dogs,Mitski,160.71,https://images.genius.com/2a2e2283f9895028062454547c5faea8.1000x1000x1.jpg,"(219, 200, 170)",sad
Brand New City,Mitski,148.03,https://images.genius.com/75a2f04ad44dac78fcf223711f99136d.1000x1000x1.png,"(40, 48, 27)",sad
Your Best American Girl,Mitski,152.03,https://images.genius.com/2a2e2283f9895028062454547c5faea8.1000x1000x1.jpg,"(219, 200, 170)",sad
family and friends,Oklou,119.68,https://images.genius.com/105b68011a87eb8b8db87d92b5568b0a.1000x1000x1.jpg,"(208, 216, 210)",sad
Go As a Dream,Caroline Polachek,114.8,https://images.genius.com/068e94df1f3d743f005fa2ec25b60491.1000x1000x1.jpg,"(68, 64, 71)",sad
Gambler's Prayer,Caroline Polachek,89.29,https://images.genius.com/fd5d79798c2e1c5344f0460ea58c63f0.1000x1000x1.jpg,"(202, 182, 162)",sad
I Give Up,Caroline Polachek,122.28,https://images.genius.com/fee066ba815f9601a2eadfde6ce1edaa.1000x1000x1.jpg,"(215, 206, 211)",sad
Tears Dry On Their Own,Amy Winehouse,122.28,https://images.genius.com/de0bdee05db1dd79f6c377d7e9dc0e33.1000x1000x1.png,"(46, 34, 24)",sad
Parachute,Caroline Polachek,104.17,https://images.genius.com/eb543c8d2f7a0910883895a2ec27f506.1000x1000x1.jpg,"(192, 190, 197)",sad
drunk,keshi,160.71,https://images.genius.com/fa6d6026fc5c7fd1de1ee812256d7abc.1000x1000x1.jpg,"(70, 122, 209)",sad
i swear i'll never leave again,keshi,140.62,https://images.genius.com/60ce32e0db63d318bb978d5c5cd4678f.1000x1000x1.png,"(69, 79, 88)",sad
Looking For,Sonny Zero,122.29,https://images.genius.com/6de77560665cde999f8af2552c4c5ff1.500x500x1.jpg,"(211, 211, 211)",sad
"Childhood - Theme from ""Free Willy 2""",Michael Jackson,112.5,https://i.scdn.co/image/ab67616d0000b273d0593178c6c2594693ee34b7,"(28, 23, 27)",sad
Trees,McCafferty,70,https://images.genius.com/af0407d67e68b5b10670583aa89facef.1000x1000x1.jpg,"(199, 202, 199)",sad
Drown More Sink Further,Faceless 1-7,127.84,https://images.genius.com/fd32c30291cdc00772dc3d6577222fae.1000x1000x1.jpg,"(211, 211, 211)",sad
Living Life Like an Asshole,Faceless 1-7,114.8,https://images.genius.com/0536339ca0674e9937234d0249c65618.500x500x1.jpg,"(165, 157, 148)",sad
START TO BLEED,Kill Dyll,117.19,https://images.genius.com/1fb07c7d3466bfce415e4457d09ce427.1000x1000x1.jpg,"(14, 14, 14)",sad
"nineteen, forever",DELIRIUM,93.75,https://images.genius.com/bf76d60bcd4abce05ff4a48e32e71f45.500x500x1.jpg,"(46, 99, 94)",sad
Marrhat,Istasha,100.45,https://images.genius.com/2791901ef1ae9d88f541b40856a9307c.420x420x1.webp,"(12, 10, 10)",sad
i'm trying,Scarlxrd,98.68,https://images.genius.com/815fc023c3e7d5524bd2a8dce52436af.1000x1000x1.jpg,"(8, 16, 25)",sad
Energy Fleets,King Krule,130.81,https://images.genius.com/032fb0f67cd5147acbd2bc92d874f512.1000x1000x1.jpg,"(11, 194, 230)",sad
Cigarettes out the Window,TV Girl,112.5,https://images.genius.com/53b0f609e5d9a3aecb36b7000aeba3b0.1000x1000x1.jpg,"(223, 29, 131)",sad
Try Again,JAEHYUN,125,https://images.genius.com/bfe45b62cf5bc590a8936284c20d3cde.1000x1000x1.png,"(33, 49, 57)",sad
A Pearl,Mitski,100,https://images.genius.com/ffa06c3ce8ea946089ebc6b8b64c881c.1000x1000x1.jpg,"(219, 206, 210)",sad
Liquid Smooth,Mitski,127.84,https://images.genius.com/75a2f04ad44dac78fcf223711f99136d.1000x1000x1.png,"(40, 48, 27)",sad
I Bet on Losing Dogs,Mitski,80,https://images.genius.com/2a2e2283f9895028062454547c5faea8.1000x1000x1.jpg,"(219, 200, 170)",sad
Rollin’ Girl,wowaka,130.81,https://images.genius.com/0f9e55ecf31e927fb03a1a0820b48d67.1000x1000x1.png,"(5, 5, 5)",sad
Hijo de la Luna,Mecano,119.68,https://images.genius.com/54e61c6ee916abb59eff0e6a3fa44d0a.599x598x1.jpg,"(26, 24, 26)",sad
Funeral,Phoebe Bridgers,117.19,https://images.genius.com/069a38a206438c03e3cc75b3a688e90f.640x640x1.jpg,"(57, 40, 44)",sad
Nobody,Mitski,104.17,https://images.genius.com/3e06c4ead263b1ec8e0a7fb0b420e132.1000x1000x1.jpg,"(188, 156, 122)",sad
Back to the Old House - 2011 Remaster,The Smiths,137.2,https://i.scdn.co/image/ab67616d0000b273ed3953f8af1f764a146b7583,"(206, 111, 43)",sad
Sullen Girl,Fiona Apple,148.03,https://images.genius.com/142d665ba13db54bd2237a8cc111383b.1000x1000x1.jpg,"(242, 232, 229)",sad
My Immortal,Evanescence,133.93,https://images.genius.com/6485c5fdd7b5c66c99f804addc5d681a.813x813x1.png,"(18, 12, 7)",sad
Whispering Grass (Don't Tell The Trees),The Ink Spots,60,https://images.genius.com/4402991c5e06fcb91c459fba9494ee95.300x300x1.jpg,"(74, 77, 111)",sad
Everybody Dies In Their Nightmares,XXXTENTACION,130.81,https://images.genius.com/3909b41f2c27e688e4caec3637cdba36.1000x1000x1.png,"(184, 184, 182)",sad
Jocelyn Flores,XXXTENTACION,130.81,https://images.genius.com/3909b41f2c27e688e4caec3637cdba36.1000x1000x1.png,"(184, 184, 182)",sad
